Name,Taxon_ID,Accession_Number,Length
Aeromonas caviae,648,WP_029313636.1,433
Comamonas composti,408558,WP_027017082.1,261
Aeromonas sp. HZM,1454008,KDV04818.1,433
Aeromonas hydrophila,644,WP_025325611.1,432
Aeromonas salmonicida subsp. masoucida NBRC 13784,1216980,GAJ48409.1,434
Aeromonas hydrophila 4AK4,1354302,AHE48014.1,432
Aeromonas veronii,654,WP_021231716.1,432
Aeromonas salmonicida,645,WP_021139697.1,432
Aeromonas veronii Hm21,1347420,ERF62524.1,432
Aeromonas salmonicida subsp. pectinolytica 34mel,1324960,EQC04193.1,432
Aeromonas sp. 159,1216961,WP_019445608.1,432
Aeromonas salmonicida,645,WP_017411534.1,432
Deinococcus radiodurans,1299,WP_010887894.1,185
Aeromonas veronii,654,WP_005363045.1,432
Aeromonas veronii,654,WP_005354856.1,432
Aeromonas veronii,654,WP_005343142.1,432
Aeromonas veronii,654,WP_005335845.1,432
Aeromonas salmonicida,645,WP_005313811.1,432
Methylophaga lonarensis MPL,1286106,EMR12148.1,171
Aeromonas veronii AMC34,1073383,EKB21145.1,432
Aeromonas veronii AMC35,1073385,EKB18530.1,432
Aeromonas veronii AER39,1073382,EKB14726.1,432
Aeromonas veronii AER397,1073384,EKB11072.1,432
Pseudoalteromonas sp. BSi20652,388384,GAA59250.1,90
Aeromonas salmonicida subsp. salmonicida 01-B526,1076135,EHI53046.1,432
gamma proteobacterium IMCC1989,937772,EGG94253.1,164
Aeromonas veronii B565,998088,AEB48579.1,432
Aeromonas salmonicida subsp. salmonicida A449,382245,ABO88727.1,432
Deinococcus radiodurans R1,243230,NP_294975.1,185
Deinococcus radiodurans R1,243230,AAF10825.1,185
Halomonas sp. DQ26W,2282311,WP_114573967.1,283
Halomonas sp. DQ26W,2282311,RDB43283.1,283
Halomonas chromatireducens,507626,WP_066448362.1,283
Halomonas chromatireducens,507626,AMD01065.1,283
Halomonas sp. BC04,1403540,WP_043516567.1,283
Halomonas sp. BC04,1403540,EWG99876.1,283
Saccharospirillum impatiens,169438,WP_028670260.1,323
Helicobacter sp. MIT 03-1614,1548147,WP_052057288.1,278
Helicobacter sp. MIT 03-1614,1548147,KGI59078.1,264
Escherichia coli,562,WP_113286910.1,229
Escherichia coli,562,WP_097448605.1,229
Vibrio cholerae O1 biovar El Tor,686,KEH81372.1,636
Vibrio cholerae O1 biovar El Tor,686,KEH78810.1,636
unclassified Comamonadaceae,83494,WP_029463012.1,640
Vibrio cholerae 2012EL-1759,1343738,KEH03635.1,636
Vibrio cholerae MS6,1420885,BAP05371.1,636
Pseudomonas,286,WP_029300704.1,648
Pseudomonas aeruginosa,287,KEF93919.1,650
Methylophilus sp. 5,1112274,WP_029146556.1,642
Pseudomonas vranovensis,321661,WP_028944946.1,648
Pseudomonas umsongensis,198618,WP_028939959.1,646
Psychromonas arctica,168275,WP_028869521.1,646
Psychromonas aquimarina,444919,WP_028866015.1,643
Thauera linaloolentis,76112,WP_028792123.1,641
Shewanella sp. 38A_GOM-205m,1380363,WP_028780117.1,639
Shewanella waksmanii,213783,WP_028773630.1,640
Shewanella fidelis,173509,WP_028767986.1,639
Pseudomonas fulva,47880,WP_028687927.1,652
Pseudomonas resinovorans,53412,WP_028629721.1,648
Pseudomonas resinovorans,53412,WP_028626320.1,649
Pseudomonas sp. Ant30-3,1488328,WP_028624106.1,648
Thiomicrorhabdus chilensis,63656,WP_028487347.1,649
Neptunomonas japonica,417574,WP_028470435.1,647
Chitinilyticum litopenaei,1121276,WP_028456206.1,652
Chitinilyticum litopenaei,1121276,WP_028455634.1,632
Chitinilyticum aquatile,362520,WP_028451774.1,631
Ferrimonas senticii,394566,WP_028116501.1,651
Enterovibrio calviensis,91359,WP_028021643.1,643
gamma proteobacterium L18,1229486,WP_027977319.1,647
Halomonas,2745,WP_027958399.1,633
Haliea salexigens,287487,WP_027950166.1,645
Pseudomonas sp. URMO17WK12:I12,1259797,WP_027926027.1,648
Pseudomonas,286,WP_027915751.1,652
Pseudomonas,286,WP_027912081.1,648
Vibrio owensii,696485,WP_027726837.1,637
Rheinheimera baltica,67576,WP_027672040.1,632
Pseudomonas sp. URHB0015,1380376,WP_027619451.1,648
Pseudomonas sp. URHB0015,1380376,WP_027619157.1,650
Pseudomonas sp. RL,1452718,WP_027590783.1,657
Vibrio cholerae O1 biovar El Tor,686,KEA47553.1,636
Pseudomonas aeruginosa C0324C,1441461,KEA30954.1,650
Pseudomonas aeruginosa C2773C,1441459,KEA26146.1,650
Pseudomonas aeruginosa C2159M,1441462,KEA14467.1,650
Pseudomonas aeruginosa C1913C,1441460,KEA13342.1,650
Halomonas sp. HL-48,1479235,WP_027335107.1,633
Aliagarivorans marinus,561965,WP_026970936.1,639
Aliagarivorans taiwanensis,561966,WP_026960469.1,639
Aliiarcobacter faecis,1564138,WP_026806164.1,738
Polaromonas sp. EUR3 1.2.1,1305734,WP_026781288.1,637
Azovibrio restrictus,146938,WP_026687534.1,636
Thioalkalivibrio sp. AKL10,1158158,WP_026340969.1,635
Comamonas thiooxydans,363952,KGH04129.1,654
Comamonas thiooxydans,363952,KGH02770.1,661
Comamonas thiooxydans,363952,KGG96336.1,661
Comamonas thiooxydans,363952,KGG92306.1,661
Comamonas thiooxydans,363952,KGG83069.1,654
Comamonas thiooxydans,363952,KGG82137.1,661
Pseudomonas rhizosphaerae,216142,AIS18760.1,650
Pectobacterium carotovorum subsp. odoriferum,78398,KGA40593.1,650
Pectobacterium carotovorum subsp. brasiliense,180957,KGA33414.1,650
Pectobacterium wasabiae,55208,KGA31022.1,650
Pectobacterium carotovorum subsp. odoriferum,78398,KGA28361.1,650
Pectobacterium carotovorum subsp. brasiliense,180957,KGA23192.1,650
Smithella sp. D17,1538639,KFZ44221.1,652
Pectobacterium atrosepticum,29471,KFX21581.1,650
Pectobacterium betavasculorum,55207,KFX19270.1,650
Pectobacterium atrosepticum,29471,KFX15175.1,650
Pectobacterium polaris,2042057,KFX10445.1,650
Pectobacterium wasabiae,55208,KFX08386.1,650
Pectobacterium betavasculorum,55207,KFX02649.1,650
Pectobacterium carotovorum subsp. carotovorum,555,KFW98396.1,650
Pseudomonas sp. 1-7,633150,KFJ91490.1,644
Pectobacterium atrosepticum,29471,AIK15054.1,650
Pectobacterium carotovorum subsp. brasiliense,180957,KFF69445.1,650
Pectobacterium carotovorum subsp. brasiliense,180957,KFF66469.1,650
Pectobacterium carotovorum subsp. brasiliense,180957,KFF61111.1,650
Aeromonas hydrophila,644,KER65688.1,430
Endozoicomonas montiporae,1027273,KEQ12457.1,650
Sedimenticola selenatireducens,191960,WP_029135042.1,653
Pseudomonas umsongensis,198618,WP_028940406.1,648
Legionella fairfieldensis,45064,WP_028388482.1,638
Legionella pneumophila,446,WP_028377925.1,639
Legionella lansingensis,45067,WP_028374052.1,640
Pseudomonas sp. URMO17WK12:I4,1283292,WP_027910983.1,643
Pseudomonas,286,WP_027903390.1,643
Curvibacter gracilis,230310,WP_027477783.1,646
Legionella pneumophila,446,WP_027227540.1,639
Legionella pneumophila,446,WP_027221186.1,639
Lonsdalea quercina,71657,WP_026744289.1,649
Chitiniphilus shinanonensis,553088,WP_026262991.1,640
Pectobacterium atrosepticum,29471,AIA72087.1,650
Aeromonas hydrophila,644,WP_024945609.1,430
Aeromonas hydrophila pc104A,1418107,AHX71141.1,430
Aeromonas hydrophila AL09-71,1418110,AHX34341.1,430
Aeromonas hydrophila AD9,1453502,EZH82878.1,430
Serratia sp. ATCC 39006,104623,WP_021016933.1,646
Pseudomonas sp. 45MFCol3.1,1151124,WP_019651885.1,648
Curvibacter lanceolatus,86182,WP_019576871.1,646
Pseudomonas,286,WP_018930301.1,648
Pseudomonas thermotolerans,157784,WP_017937685.1,648
Aeromonas hydrophila,644,WP_017411251.1,430
Arcobacter cryaerophilus,28198,WP_066168769.1,624
Arcobacter cryaerophilus,28198,WP_066157283.1,624
Bordetella ansorpii,288768,WP_066130458.1,654
Halioglobus sp. HI00S01,1822214,WP_066057502.1,639
Endozoicomonas atrinae,1333660,WP_066015365.1,648
Pseudomonas graminis,158627,WP_065988313.1,648
Pseudomonas sp. CO183,1883453,OCX93032.1,657
Vogesella sp. LIG4,1192162,SCK14196.1,637
Pseudomonas graminis,158627,OCX21834.1,648
Pseudomonas sp. 37 R 15,1844104,WP_065952219.1,648
Pseudomonas sp. S3E12,1873126,WP_065940729.1,648
Pseudomonas sp. 34 E 7,1844102,WP_065937001.1,648
Pseudomonas sp. 28 E 9,1844098,WP_065933780.1,648
Pseudomonas,286,WP_065930940.1,648
Bordetella sp. H567,1697043,AOB30981.1,656
Pseudomonas sp. 24 E 13,1844095,WP_065896536.1,648
Pseudomonas sp. 44 R 15,1844105,WP_065894042.1,648
Pseudomonas sp. 31 R 17,1844101,WP_065884440.1,648
Pseudomonas sp. S3E12,1873126,OCW21299.1,648
Vibrio parahaemolyticus,670,ANZ13205.1,619
Pseudomonas sp. 22 E 5,1844093,CRM86414.1,648
Pseudomonas sp. 22 E 5,1844093,CRM94701.1,648
Pseudomonas sp. 58 R 3,1844108,CRM67688.1,648
Pseudomonas sp. 34 E 7,1844102,CRN02952.1,648
Pseudomonas sp. 25 R 14,1844109,CRM77147.1,648
Pseudomonas sp. 37 R 15,1844104,CRM64326.1,648
Pseudomonas sp. 44 R 15,1844105,CRM58791.1,648
Pseudomonas sp. 24 E 13,1844095,CRM40650.1,648
Pseudomonas sp. 28 E 9,1844098,CRM25751.1,648
Pseudomonas sp. 31 R 17,1844101,CRM16076.1,648
Pseudomonas sp. 31 E 6,1844100,CRM50482.1,648
Pseudomonas sp. 31 E 5,1844099,CRM69387.1,648
Pseudomonas sp. 25 E 4,1844097,CRM33018.1,648
Vibrio parahaemolyticus,670,OCQ14127.1,637
Vibrio parahaemolyticus,670,OCQ08440.1,637
Vibrio parahaemolyticus,670,OCP99789.1,637
Vibrio parahaemolyticus,670,OCP98805.1,637
Vibrio parahaemolyticus,670,OCP93706.1,637
Vibrio parahaemolyticus,670,OCP88496.1,637
Vibrio parahaemolyticus,670,OCP78869.1,637
Vibrio parahaemolyticus,670,OCP76437.1,637
Vibrio parahaemolyticus,670,OCP75425.1,637
Vibrio parahaemolyticus,670,OCP71710.1,637
Vibrio parahaemolyticus,670,OCP61956.1,637
Vibrio parahaemolyticus,670,OCP58540.1,637
Vibrio parahaemolyticus,670,OCP58152.1,637
Vibrio parahaemolyticus,670,OCP50314.1,637
Vibrio parahaemolyticus,670,OCP49489.1,637
Vibrio parahaemolyticus,670,OCP47469.1,637
Pseudomonas sp. WCHP16,1876757,WP_065761600.1,648
Vibrio sp. 10N.261.52.A1,1880849,WP_102424719.1,636
Vibrio lentus,136468,WP_102414077.1,636
Vibrio cyclitrophicus,47951,WP_102397470.1,636
Enterovibrio norvegicus,188144,WP_102386102.1,649
Vibrio lentus,136468,WP_102383700.1,636
Vibrio breoganii,553239,WP_102382268.1,632
Vibrio breoganii,553239,WP_102377328.1,632
Vibrio breoganii,553239,WP_102367191.1,632
Vibrio lentus,136468,WP_102362805.1,636
Vibrio breoganii,553239,WP_102321669.1,632
Vibrio sp. 10N.261.51.A7,1884472,WP_102320930.1,636
Enterovibrio norvegicus,188144,WP_102318090.1,643
Vibrio lentus,136468,WP_102314528.1,636
Enterovibrio norvegicus,188144,WP_102310641.1,649
Vibrio lentus,136468,WP_102299939.1,636
Vibrio lentus,136468,WP_102277300.1,636
Vibrio lentus,136468,WP_102266872.1,636
Enterovibrio norvegicus,188144,WP_102259475.1,649
Pseudomonas sp. FW305-BF6,2070673,PNB77514.1,648
Pseudomonas sp. GW456-E7,2070669,PNB74833.1,653
Pseudomonas sp. GW456-12-10-14-LB2,2070674,PNB48927.1,648
Pseudomonas sp. FW305-131,2070670,PNB38989.1,648
Pseudomonas sp. FW306-02-F04-AA,2070658,PNB24754.1,648
Pseudomonas sp. FW305-67,2070639,PNB24028.1,646
Pseudomonas sp. FW305-67,2070639,PNB09745.1,648
Pseudomonas sp. FW306-2-11BA,2070662,PNB06925.1,648
Pseudomonas sp. FW306-02-H05-BA,2070659,PNB05359.1,648
Pseudomonas sp. MPR-AND1B,2070646,PNB02320.1,648
Pseudomonas sp. FW300-E2,2070650,PNA90847.1,648
Pseudomonas sp. MPR-R3B,2070642,PNA89925.1,646
Pseudomonas sp. MPR-R3B,2070642,PNA80878.1,648
Pseudomonas sp. GW247-5R2A,2070634,PNA80855.1,648
Pseudomonas sp. GW101-3F01,2070610,PNA60125.1,646
Pseudomonas sp. GW101-3F01,2070610,PNA59439.1,648
Pseudomonas sp. MPR-AND1A,2070600,PNA53810.1,646
Pseudomonas sp. MPR-AND1A,2070600,PNA52121.1,648
Pseudomonas sp. FW306-2-2C-A10BC,2070637,PNA39284.1,646
Pseudomonas sp. FW306-2-2C-A10BC,2070637,PNA38273.1,648
Pseudomonas sp. FW215-R3,2070671,PNA14387.1,648
Pseudomonas sp. GW456-11-11-14-LB1,2070667,PNA08481.1,648
Pseudomonas sp. FW305-BF15,2070675,PMZ97709.1,648
Pseudomonas sp. FW215-T2,2070672,PMZ91742.1,648
Pseudomonas sp. FW306-2-11AD,2070665,PMZ88953.1,648
Pseudomonas sp. FW306-02-H05-AB,2070666,PMZ78816.1,648
Pseudomonas sp. FW104-R4,2070668,PMZ76817.1,656
Pseudomonas sp. GW247-3R2A,2070648,PMZ66741.1,648
Pseudomonas sp. FW306-2-11AA,2070663,PMZ61701.1,648
Pseudomonas sp. FW300-N1A5,2070664,PMZ55390.1,648
Pseudomonas sp. FW306-2-11AC,2070656,PMZ49246.1,648
Pseudomonas sp. FW306-02-H05-AA,2070657,PMZ43035.1,648
Salinivibrio sp. BNH,1895021,ODP99365.1,644
Salinivibrio sp. BNH,1895021,ODP96477.1,649
Pseudomonas aeruginosa,287,AON37946.1,650
Pseudomonas aeruginosa,287,AON19948.1,650
Pseudomonas aeruginosa,287,AON73263.1,650
Pseudomonas aeruginosa,287,AON49941.1,650
Pseudomonas aeruginosa,287,AON43930.1,650
Pseudomonas aeruginosa,287,AON31943.1,650
Pseudomonas aeruginosa,287,AON26469.1,650
Pseudomonas aeruginosa,287,AON13964.1,650
Pseudomonas aeruginosa,287,AON07975.1,650
Pseudomonas aeruginosa,287,SCM63596.1,650
Vibrio parahaemolyticus,670,ODN35620.1,637
Vibrio harveyi,669,ODM58533.1,637
Pseudomonas sp. TCU-HL1,1856685,WP_069085123.1,649
Terasakiispira papahanaumokuakeensis,197479,WP_069000050.1,633
Terasakiispira papahanaumokuakeensis,197479,ODC05028.1,633
Pseudomonas sp. TCU-HL1,1856685,AOE86890.1,649
Pseudomonas corrugata,47879,AOE63246.1,648
Photobacterium damselae,38293,WP_068968395.1,641
Enterovibrio pacificus,1080227,WP_068898133.1,640
Thauera phenolivorans,1792543,WP_068808565.1,641
Thiomicrospira sp. XS5,1775636,WP_068647126.1,645
Thauera butanivorans,86174,WP_068635876.1,644
Tepidimonas fonticaldi,1101373,WP_068607367.1,638
Pseudomonas,286,WP_068575492.1,648
Photobacterium jeanii,858640,WP_068335268.1,646
Neptuniibacter pectenicola,1806669,WP_067981636.1,649
Neptuniibacter marinus,1806670,WP_067863867.1,648
Ferrimonas marina,299255,WP_067659413.1,645
Vibrio parahaemolyticus,670,ODA46009.1,637
Enterovibrio pacificus,1080227,ODA36137.1,640
Photobacterium damselae subsp. damselae,85581,ODA24877.1,641
Enterovibrio coralii,294935,WP_067414107.1,644
Marinomonas gallaica,1806667,WP_067222435.1,641
Marinomonas aquimarina,295068,WP_067205541.1,650
Sulfurospirillum sp. UCH001,1581011,WP_067174826.1,653
Methylobacillus sp. MM3,1848039,WP_067106351.1,652
Moritella sp. JT01,756698,WP_067049455.1,642
Marinomonas gallaica,1806667,WP_067036251.1,650
Curvibacter delicatus,80879,WP_066705622.1,628
Bordetella flabilis,463014,WP_066659411.1,652
Bordetella sp. H567,1697043,WP_066635155.1,656
Halomonas chromatireducens,507626,WP_066447403.1,640
Bordetella ansorpii,288768,WP_066410262.1,653
Arcobacter cryaerophilus,28198,WP_066404952.1,624
Arcobacter cryaerophilus,28198,WP_066359191.1,624
Bordetella bronchialis,463025,WP_066348727.1,657
Halomonas sp. G11,1684425,WP_066320754.1,633
Arcobacter cryaerophilus,28198,WP_066222280.1,624
Achromobacter xylosoxidans,85698,CUJ61835.1,654
Achromobacter xylosoxidans,85698,CUK21464.1,654
Achromobacter xylosoxidans,85698,CUK21445.1,660
Achromobacter xylosoxidans,85698,CUJ69165.1,660
Achromobacter xylosoxidans,85698,CUJ69116.1,654
Achromobacter xylosoxidans,85698,CUJ37032.1,660
Achromobacter xylosoxidans,85698,CUJ36972.1,654
Achromobacter sp. ATCC31444,1806484,CUJ65117.1,656
Achromobacter xylosoxidans,85698,CUJ54111.1,660
Achromobacter xylosoxidans,85698,CUJ54049.1,654
Achromobacter xylosoxidans,85698,CUJ01463.1,660
Achromobacter xylosoxidans,85698,CUJ01383.1,654
Achromobacter xylosoxidans,85698,CUJ76784.1,654
Achromobacter xylosoxidans,85698,CUJ76760.1,660
Achromobacter xylosoxidans,85698,CUI77581.1,654
Achromobacter xylosoxidans,85698,CUI77500.1,660
Achromobacter sp. 2789STDY5608614,1806498,CUK10962.1,657
Achromobacter sp. 2789STDY5608614,1806498,CUK10928.1,655
Achromobacter xylosoxidans,85698,CUJ58874.1,660
Achromobacter xylosoxidans,85698,CUJ58830.1,654
Achromobacter sp. 2789STDY5608617,1806477,CUJ13777.1,657
Achromobacter sp. 2789STDY5608617,1806477,CUJ13406.1,655
Achromobacter xylosoxidans,85698,CUJ66382.1,660
Achromobacter xylosoxidans,85698,CUJ66313.1,654
Achromobacter xylosoxidans,85698,CUJ21979.1,660
Achromobacter xylosoxidans,85698,CUJ21893.1,654
Achromobacter xylosoxidans,85698,CUK22696.1,660
Achromobacter xylosoxidans,85698,CUK22676.1,654
Achromobacter xylosoxidans,85698,CUJ60970.1,654
Achromobacter xylosoxidans,85698,CUJ60892.1,660
Achromobacter xylosoxidans,85698,CUJ37527.1,660
Achromobacter xylosoxidans,85698,CUJ37472.1,654
Achromobacter xylosoxidans,85698,CUJ92356.1,660
Achromobacter xylosoxidans,85698,CUJ92324.1,654
Achromobacter sp. 2789STDY5608608,1806476,CUJ40947.1,655
Achromobacter sp. 2789STDY5608608,1806476,CUJ40868.1,657
Achromobacter sp. 2789STDY5608607,1806497,CUJ71769.1,657
Alcaligenes faecalis,511,CUJ02795.1,646
Photobacterium leiognathi subsp. mandapamensis,48408,KPA53084.1,636
Citrobacter portucalensis,1639133,ALD78489.1,630
Achromobacter xylosoxidans,85698,WP_053499172.1,654
Vibrio vulnificus,672,KOS00037.1,637
Achromobacter xylosoxidans,85698,KOQ53076.1,654
Achromobacter xylosoxidans,85698,KOQ48721.1,660
Achromobacter xylosoxidans,85698,KOQ48310.1,654
Achromobacter xylosoxidans,85698,KOQ39867.1,654
Achromobacter xylosoxidans,85698,KOQ37749.1,654
Achromobacter xylosoxidans,85698,KOQ24909.1,654
Achromobacter xylosoxidans,85698,KOQ21811.1,654
Achromobacter xylosoxidans,85698,KOQ19111.1,654
Pseudoalteromonas,53246,WP_058428735.1,668
Pseudomonas,286,WP_058422454.1,648
Pseudomonas marginalis,298,WP_058415384.1,648
Pseudoalteromonas sp. H71,1348395,WP_058406060.1,668
Pseudoalteromonas sp. 10-33,1761890,KTF18953.1,668
Pseudoalteromonas sp. H100,1348394,KTD97363.1,668
Pseudoalteromonas sp. H71,1348395,KTD88857.1,668
Legionella waltersii,66969,KTD82816.1,643
Legionella israelensis,454,KTD35147.1,642
Legionella londiniensis,45068,KTD22614.1,639
Legionella feeleii,453,KTD03064.1,639
Pseudomonas putida,303,KTC38973.1,650
Pseudomonas sp. ABAC21,1230462,KTC33110.1,621
Pseudomonas sp. ICMP 19500,1208102,KTC26584.1,648
Pseudomonas marginalis ICMP 9505,1198317,KTC11434.1,648
Pseudomonas fluorescens ICMP 11288,1198309,KTB56778.1,648
Pseudomonas aeruginosa,287,ALS10454.1,650
Vibrio alginolyticus,663,ALR94965.1,637
Pseudomonas sp. ADP,47660,KSW26816.1,650
Pseudomonas sp. ADP,47660,KSW22079.1,650
Pseudomonas aeruginosa,287,WP_058182158.1,650
Pseudomonas aeruginosa,287,WP_058181264.1,650
Pseudomonas aeruginosa,287,WP_058180000.1,650
Pseudomonas aeruginosa,287,WP_058170311.1,650
Pseudomonas aeruginosa,287,WP_058169367.1,650
Pseudomonas aeruginosa,287,WP_058167011.1,650
Pseudomonas aeruginosa,287,WP_058156441.1,650
Pseudomonas aeruginosa,287,WP_058153564.1,650
Pseudomonas aeruginosa,287,WP_058136968.1,650
Pseudomonas aeruginosa,287,WP_058134270.1,650
Pseudomonas aeruginosa,287,WP_058133109.1,650
Pseudomonas aeruginosa,287,BAT66619.1,650
Pseudomonas aeruginosa,287,KST02738.1,650
Pseudomonas aeruginosa,287,KST00055.1,650
Pseudomonas aeruginosa,287,KSS99692.1,650
Pseudomonas aeruginosa,287,KSS90188.1,650
Pseudomonas aeruginosa,287,KSS84447.1,650
Pseudomonas aeruginosa,287,KSS81581.1,650
Pseudomonas aeruginosa,287,KSS64385.1,650
Pseudomonas aeruginosa,287,KSS62705.1,650
Pseudomonas aeruginosa,287,KSS62271.1,650
Pseudomonas aeruginosa,287,KSS56888.1,650
Pseudomonas aeruginosa,287,KSS53123.1,650
Pseudomonas aeruginosa,287,KSS47059.1,650
Pseudomonas aeruginosa,287,KSS38602.1,650
Pseudomonas aeruginosa,287,KSS32164.1,650
Pseudomonas aeruginosa,287,KSS27807.1,650
Pseudomonas aeruginosa,287,KSS11687.1,650
Pseudomonas aeruginosa,287,KSS10455.1,650
Pseudomonas aeruginosa,287,KSS05729.1,650
Vibrio albensis VL426,593585,EEO01553.1,533
Vibrio cholerae 12129(1),592313,EEN99881.1,636
Vibrio cholerae O395,345073,ACP11934.1,636
Vibrio cholerae M66-2,579112,ACP07999.1,636
gamma proteobacterium NOR5-3,566466,EED33923.1,638
Vibrio sp. 16,391586,EED28527.1,636
Pseudomonas aeruginosa LESB58,557722,CAW28735.1,650
Vibrio tasmaniensis LGP32,575788,CAV25176.1,636
marine gamma proteobacterium HTCC2148,247634,EEB77971.1,639
Shewanella piezotolerans WP3,225849,ACJ27222.1,640
Aliivibrio salmonicida LFI1238,316275,CAQ81853.1,641
Shewanella woodyi ATCC 51908,392500,ACA84769.1,640
Shewanella halifaxensis HAW-EB4,458817,ABZ78468.1,639
Shewanella benthica KT99,314608,EDQ02602.1,641
Vibrio sp. AND4,314289,EDP59765.1,637
Shewanella pealeana ATCC 700345,398579,ABV85690.1,639
Vibrio campbellii ATCC BAA-1116,338187,ABU74959.1,640
Vibrio antiquarius,150340,EDN58866.1,627
Marinomonas sp. MWYL1,400668,ABR71738.1,649
Moritella sp. PE36,58051,EDM67449.1,671
Moritella sp. PE36,58051,EDM65318.1,648
Vibrio parahaemolyticus AQ3810,419109,EDM59274.1,640
Marinobacter algicola DG893,443152,EDM47307.1,662
Vibrio campbellii HY01,410291,EDL69069.1,640
Vibrio shilonii AK1,391591,EDL55162.1,636
Vibrio cholerae O395,345073,ABQ18771.1,636
Vibrionales bacterium SWAT-3,391574,EDK29565.1,636
Shewanella loihica PV-4,323850,ABO22179.1,640
Marinobacter sp. ELB17,270374,EBA01672.1,669
Vibrio cholerae NCTC 8457,417399,EAZ75294.1,636
Pseudomonas aeruginosa 2192,350703,EAZ57224.1,650
Pseudomonas aeruginosa C3719,350704,EAZ51974.1,650
Methylibium petroleiphilum PM1,420662,ABM94836.1,638
Psychromonas ingrahamii 37,357804,ABM03266.1,640
Shewanella amazonensis SB2B,326297,ABM01467.1,639
Azoarcus sp. BH72,62928,CAL93269.1,637
marine gamma proteobacterium HTCC2080,247639,EAW41026.1,640
Alteromonadales bacterium TW-7,156578,EAW28539.1,668
Pseudomonas aeruginosa UCBPP-PA14,208963,ABJ10614.1,650
Mariprofundus ferrooxydans PV-1,314345,EAU54684.1,639
Shewanella frigidimarina NCIMB 400,318167,ABI70292.1,640
Pseudomonas fluorescens,294,ABI54127.1,648
Pseudoalteromonas atlantica T6c,342610,ABG41175.1,640
Oceanobacter sp. RED65,207949,EAT12879.1,641
Shewanella denitrificans OS217,318161,ABE53673.1,640
Vibrio alginolyticus 12G01,314288,EAS78091.1,637
Photobacterium angustum S14,314292,EAS66402.1,642
Saccharophagus degradans 2-40,203122,ABD80078.1,642
Rhodoferax ferrireducens T118,338969,ABD71464.1,637
Neptuniibacter caesariensis,207954,EAR61700.1,648
Vibrio cholerae O1 biovar El Tor,686,KUP89264.1,636
Vibrio cholerae O1 biovar El Tor,686,KUP86560.1,636
Pseudomonas sp. URMO17WK12:I11,1283291,WP_059181869.1,648
Pseudomonas aeruginosa,287,ALZ24820.1,650
Pseudomonas aeruginosa,287,ALZ20348.1,650
Pseudomonas aeruginosa,287,ALZ12599.1,650
Pseudomonas aeruginosa,287,ALZ10316.1,650
Pseudomonas aeruginosa,287,ALY99922.1,650
Pseudomonas aeruginosa,287,ALY99034.1,650
Pseudomonas aeruginosa,287,ALY87680.1,650
Pseudomonas aeruginosa,287,ALY80587.1,650
Pseudomonas aeruginosa,287,ALY84471.1,650
Pseudomonas aeruginosa,287,ALY71055.1,650
Pseudomonas aeruginosa,287,ALY68919.1,650
Pseudomonas aeruginosa,287,ALY62249.1,650
Pseudomonas aeruginosa,287,ALY54553.1,650
Pseudomonas aeruginosa,287,ALY46880.1,650
Pseudomonas aeruginosa,287,ALY41078.1,650
Pseudomonas aeruginosa,287,ALY38210.1,650
Vibrio cholerae,666,KUO38987.1,636
Vibrio cholerae,666,KUO36580.1,636
Vibrio cholerae,666,KUO33824.1,636
Vibrio cholerae,666,KUO28893.1,636
Vibrio cholerae,666,KUO24302.1,636
Marinomonas fungiae,1137284,CUB02360.1,649
Vibrio sp. MEBiC08052,1761910,WP_059122108.1,637
Thiomicrospira sp. XS5,1775636,KUJ74398.1,645
uncultured bacterium 19,1748269,ALV86467.1,647
Vibrio sp. MEBiC08052,1761910,KUI97602.1,629
Pseudomonas aeruginosa 0C2E,1421531,KUI82512.1,650
Pseudomonas aeruginosa,287,KUI82306.1,650
Vibrio parahaemolyticus,670,KUH63009.1,637
Pseudomonas aeruginosa,287,ALV77360.1,650
Pseudomonas aeruginosa,287,KUG33709.1,650
Pseudomonas aeruginosa,287,ALU51104.1,650
Pseudomonas parafulva,157782,WP_058639855.1,652
Pseudomonas parafulva,157782,WP_058606119.1,652
Aeromonas schubertii,652,KUE79306.1,640
Paucibacter sp. KCTC 42545,1768242,ALT76326.1,639
Pseudomonas parafulva,157782,KTT14934.1,652
Pseudomonas parafulva,157782,KTS92070.1,652
Pseudoalteromonas sp. 10-33,1761890,WP_058551085.1,668
Pseudomonas,286,WP_058542639.1,648
Pseudomonas aeruginosa,287,KTF50926.1,650
Legionella londiniensis,45068,WP_058528501.1,639
Legionella israelensis,454,WP_058500433.1,642
Pseudomonas sp. EGD-AKN5,1524461,WP_058489865.1,650
Pseudomonas sp. EGD-AKN5,1524461,WP_058488874.1,650
Legionella waltersii,66969,WP_058479155.1,643
Legionella feeleii,453,WP_058443767.1,639
Aeromonas sp. ASNIH8,1920113,WP_103858509.1,433
Aeromonas sp. ASNIH1,1636606,AUZ79085.1,433
Aeromonas sp. ASNIH8,1920113,POV91760.1,433
Aeromonas bestiarum,105751,WP_103472174.1,432
Aeromonas veronii,654,WP_103422333.1,432
Aeromonas veronii,654,WP_103251889.1,432
Aeromonas bestiarum,105751,POG22835.1,432
Aeromonas veronii,654,POG19492.1,432
Aeromonas sp. ASNIH7,1920107,AUV16362.1,433
Aeromonas caviae,648,AUU22415.1,433
